"uniqid","demfirst","repfirst","female","gender","state","age","educ","race","hispanic","region","pid7","pid3","demrich","demrel","demrace","demsex","demage","demeduc","dememploy","demunion","reprich","reprel","reprace","repsex","repage","repeduc","repemploy","repunion","reprich1","reprel1","reprace1","repsex1","repage1","repeduc1","repemploy1","repunion1","demrich1","demrel1","demrace1","demsex1","demage1","demeduc1","dememploy1","demunion1"
"R_4SnQoN15U4CE9Vj",NA,1,"TRUE","Female","Arizona","30-49","Bachelor's degree","White/Caucasian","FALSE","west","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Woman","36-50","Never went to college","Unemployed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a Union Member"
"R_6FE1cSteI53lOa9",1,NA,"TRUE","Female","Utah","30-49","Bachelor's degree","White/Caucasian","FALSE","west","6","Republican","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Rich","Something else","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0CcDeiZYJqERngh",1,NA,"TRUE","Female","North Carolina","18-29","Some college","White/Caucasian","FALSE","south","6","Republican","Middle class","Born-again/Evangelical Christian","White","Woman","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_8eruwew5YPSX6mh",NA,1,"FALSE","Male","Oklahoma","18-29","Some college","White/Caucasian","FALSE","south","4","Independent","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","Never went to college","Employed","Not a Union Member","Middle class","Other Protestant Christian","Black or African-American","Man","18-35","Never went to college","Employed","Not a Union Member"
"R_eX52liw0mNUVLq5",NA,1,"FALSE","Male","New Jersey","18-29","Bachelor's degree","White/Caucasian","FALSE","northeast","2","Democrat","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_1FzONNIvd5oqEMl",1,NA,"TRUE","Female","Maryland","18-29","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","Middle class","Something else","Black or African-American","Woman","18-35","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_a3DSadWASobA4x7",1,NA,"FALSE","Male","Connecticut","18-29","Some college","Black/African American","FALSE","northeast","1","Democrat","Middle class","Other Protestant Christian","White","Woman","18-35","College Educated","Employed","Not a Union Member","Rich","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_9ZSduB7WGRzavsx",1,NA,"TRUE","Female","Massachusetts","30-49","Bachelor's degree","White/Caucasian","FALSE","northeast","3","Democrat","Middle class","Other Protestant Christian","Black or African-American","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_8cb4HcwTdJtNZZ3",1,NA,"FALSE","Male","California","18-29","Bachelor's degree","White/Caucasian","FALSE","west","6","Republican","Middle class","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Poor","Born-again/Evangelical Christian","White","Man","18-35","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_2mYw2xhEMDIHAcB",1,NA,"TRUE","Female","California","18-29","Some college","Asian","FALSE","west","2","Democrat","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Something else","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0rhil7VsfTc5EoZ",NA,1,"FALSE","Male","Massachusetts","30-49","High school degree or equivalent","White/Caucasian","FALSE","northeast","4","Independent","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","50+","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","50+","College educated","Unemployed","Union Member"
"R_8iEpQsc7NGCFyoR",1,NA,"FALSE","Male","Illinois","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_brUGuKwidoni6Nf",1,NA,"FALSE","Male","Indiana","18-29","High school degree or equivalent","White/Caucasian","FALSE","midwest","4","Independent","Middle class","Other Protestant Christian","White","Woman","18-35","Never went to college","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_eniedTJs45OoJ2R",1,NA,"TRUE","Female","Vermont","18-29","Some college","White/Caucasian","FALSE","northeast","3","Democrat","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6tnbQJrCnkXnUoZ",1,NA,"TRUE","Female","Pennsylvania","18-29","Some college","White/Caucasian","FALSE","northeast","1","Democrat","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_cUQLt2wz8Gxuuu9",1,NA,"FALSE","Male","Maryland","18-29","Some college","White/Caucasian","FALSE","south","4","Independent","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6gjIxXosAuubAfH",1,NA,"TRUE","Female","Pennsylvania","18-29","Bachelor's degree","White/Caucasian","FALSE","northeast","1","Democrat","Middle class","Something else","White","Man","18-35","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","18-35","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_56AVxNsoy2Tci2h",NA,1,"FALSE","Male","Illinois","18-29","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Woman","18-35","College educated","Employed","Not a Union Member"
"R_1AiZVHo7tb0RZHf",NA,1,"TRUE","Female","Indiana","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","2","Democrat","","","","","","","","","","","","","","","","","Rich","Born-again/Evangelical Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","36-50","College educated","Employed","Union Member"
"R_9N6eEYxUYTN7OyF",1,NA,"FALSE","Male","Pennsylvania","30-49","Some college","White/Caucasian","FALSE","northeast","1","Democrat","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Union Member","Rich","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_3fr45Bv9uCKNHZr",NA,1,"FALSE","Male","Nevada","18-29","Bachelor's degree","White/Caucasian","FALSE","west","5","Republican","","","","","","","","","","","","","","","","","Rich","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_3eGwywhzBlpeZZH",1,NA,"FALSE","Male","Tennessee","18-29","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","Poor","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_6usdyCePaqyYMe1",1,NA,"TRUE","Female","Delaware","18-29","Bachelor's degree","Asian","FALSE","south","6","Republican","Poor","Other Protestant Christian","Black or African-American","Woman","36-50","Never went to college","Employed","Not a Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_6QgUAhaluYfqWUd",1,NA,"FALSE","Male","New Mexico","30-49","Bachelor's degree","White/Caucasian","FALSE","west","7","Republican","Middle class","Other Protestant Christian","Black or African-American","Woman","50+","College Educated","Unemployed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_aVqNQ79mrDTvzSJ",NA,1,"FALSE","Male","Tennessee","18-29","Bachelor's degree","White/Caucasian","FALSE","south","3","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Jewish","White","Man","18-35","College educated","Employed","Union Member"
"R_6Auc757ERoirDVP",NA,1,"FALSE","Male","Maine","18-29","Some college","White/Caucasian","FALSE","northeast","3","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","18-35","Never went to college","Employed","Not a Union Member","Middle class","Catholic","White","Man","18-35","Never went to college","Employed","Not a Union Member"
"R_bj8aPcQKPr1AcHX",NA,1,"FALSE","Male","New York","18-29","Bachelor's degree","Asian","FALSE","northeast","4","Independent","","","","","","","","","","","","","","","","","Rich","Other Protestant Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Rich","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a Union Member"
"R_8uCqbOmGykeUDyJ",1,NA,"FALSE","Male","Arizona","18-29","Some college","White/Caucasian","FALSE","west","5","Republican","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_3K1uV5iZ1Of1OVD",1,NA,"FALSE","Male","New York","30-49","Bachelor's degree","White/Caucasian","FALSE","northeast","4","Independent","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Not a Union Member","Poor","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_elH8OiNCop2oDWZ",NA,1,"FALSE","Male","California","18-29","High school degree or equivalent","White/Caucasian","FALSE","west","3","Democrat","","","","","","","","","","","","","","","","","Middle class","Something else","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","Never went to college","Employed","Union Member"
"R_9F8T7OndWkJu6Ut",1,NA,"FALSE","Male","California","18-29","Some college","White/Caucasian","FALSE","west","5","Republican","Rich","Catholic","White","Man","36-50","College Educated","Employed","Union Member","Middle class","Atheist or agnostic","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_3W2ZDvdZaIRBuJv",1,NA,"TRUE","Female","Texas","30-49","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_ekUQnRUpz3FUWY5",NA,1,"FALSE","Male","Wisconsin","30-49","Some college","White/Caucasian","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Poor","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Unemployed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","36-50","College educated","Employed","Union Member"
"R_72i7704US2NjRvn",NA,1,"FALSE","Male","Tennessee","18-29","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_dmTSCVB0CHB6y9L",1,NA,"FALSE","Male","North Carolina","18-29","Bachelor's degree","White/Caucasian","FALSE","south","2","Democrat","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Woman","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6rqZiGVih3KFj9P",NA,1,"FALSE","Male","Florida","18-29","Some college","White/Caucasian","FALSE","south","4","Independent","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","Never went to college","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","36-50","College educated","Employed","Union Member"
"R_8H87YkpliePjYqh",1,NA,"TRUE","Female","Pennsylvania","50+","Some college","White/Caucasian","FALSE","northeast","3","Democrat","Middle class","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_ewA4gG048K7xQb3",NA,1,"TRUE","Female","Tennessee","18-29","Bachelor's degree","White/Caucasian","FALSE","south","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","18-35","College educated","Employed","Not a Union Member"
"R_8cW0rlaqRvn7oSp",NA,1,"FALSE","Male","Florida","18-29","Some college","White/Caucasian","FALSE","south","3","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Union Member"
"R_b2TuyvhkMWEddWd",1,NA,"FALSE","Male","Arkansas","30-49","Bachelor's degree","White/Caucasian","FALSE","south","7","Republican","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_etVRPSzZVTOIL3f",1,NA,"TRUE","Female","California","30-49","Advanced degree","White/Caucasian","FALSE","west","1","Democrat","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Not a Union Member","Poor","Catholic","White","Man","36-50","Never went to college","Employed","Union member","","","","","","","","","","","","","","","",""
"R_03oP6Nyv7pfGsJf",1,NA,"FALSE","Male","Florida","30-49","Advanced degree","White/Caucasian","FALSE","south","1","Democrat","Middle class","Jewish","White","Man","36-50","College Educated","Employed","Union Member","Poor","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Unemployed","Not a union member","","","","","","","","","","","","","","","",""
"R_9HQ5UiajIabVbIF",1,NA,"FALSE","Male","Idaho","30-49","High school degree or equivalent","White/Caucasian","FALSE","west","5","Republican","Middle class","Something else","White","Woman","18-35","College Educated","Employed","Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_29oIMWnQv28m0V7",NA,1,"FALSE","Male","Louisiana","30-49","Some college","White/Caucasian","FALSE","south","4","Independent","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","Black or African-American","Man","18-35","College educated","Unemployed","Union Member"
"R_6ofV0b61dTAOf1r",NA,1,"TRUE","Female","Michigan","18-29","Some college","Native Hawaiian or other Pacific Islander","TRUE","midwest","4","Independent","","","","","","","","","","","","","","","","","Poor","Other Protestant Christian","White","Man","18-35","Never went to college","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","18-35","College educated","Employed","Not a Union Member"
"R_1YsxzT4RiRA4Zjn",1,NA,"FALSE","Male","Pennsylvania","18-29","Some college","White/Caucasian","FALSE","northeast","3","Democrat","Poor","Born-again/Evangelical Christian","Black or African-American","Woman","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_081H9XY1mXMw0Hr",1,NA,"FALSE","Male","New York","18-29","Bachelor's degree","White/Caucasian","FALSE","northeast","3","Democrat","Middle class","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Rich","Other Protestant Christian","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_4HnBDPchzfFlsqx",NA,1,"FALSE","Male","Pennsylvania","18-29","Bachelor's degree","White/Caucasian","FALSE","northeast","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","18-35","College educated","Employed","Union Member"
"R_e42a9rxRtb62OQl",1,NA,"TRUE","Female","Michigan","18-29","Some college","White/Caucasian","FALSE","midwest","1","Democrat","Poor","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_9B3zrwg2HA51aTz",1,NA,"FALSE","Male","California","18-29","Some college","White/Caucasian","TRUE","west","3","Democrat","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_4VkuOgVGEdmarKB",NA,1,"FALSE","Male","Oklahoma","18-29","Bachelor's degree","White/Caucasian","FALSE","south","5","Republican","","","","","","","","","","","","","","","","","Rich","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Jewish","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_4VFwcqSMPx7lGgR",1,NA,"FALSE","Male","Iowa","30-49","Some college","White/Caucasian","FALSE","midwest","3","Democrat","Middle class","Catholic","White","Woman","36-50","College Educated","Employed","Not a Union Member","Rich","Born-again/Evangelical Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_2c8ldO88ohTHqbr",1,NA,"FALSE","Male","California","18-29","Some college","Asian","FALSE","west","3","Democrat","Middle class","Atheist or agnostic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_9ThR3pFk3211d1H",1,NA,"TRUE","Female","Tennessee","30-49","Some college","White/Caucasian","FALSE","south","5","Republican","Poor","Atheist or agnostic","Black or African-American","Woman","50+","Never went to college","Unemployed","Not a Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_9vq0HAZ2TRB2l5X",1,NA,"FALSE","Male","California","30-49","Some college","White/Caucasian","FALSE","west","2","Democrat","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Rich","Born-again/Evangelical Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_5AsrNOKr2Ki6lYp",1,NA,"FALSE","Male","North Dakota","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","2","Democrat","Middle class","Atheist or agnostic","White","Man","36-50","College Educated","Employed","Not a Union Member","Rich","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_4VnucYobYIdMVkp",NA,1,"FALSE","Male","Missouri","30-49","Bachelor's degree","Black/African American","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","36-50","College educated","Employed","Not a Union Member"
"R_5aHvL2s8pvCnpfn",NA,1,"FALSE","Male","Florida","30-49","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Catholic","Black or African-American","Man","18-35","College educated","Employed","Not a Union Member"
"R_0Gj5wAK4dIHFPOl",NA,1,"TRUE","Female","Michigan","30-49","Advanced degree","White/Caucasian","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Employed","Not a Union Member","Middle class","Atheist or agnostic","Black or African-American","Woman","36-50","College educated","Employed","Union Member"
"R_erZo0TMtv9C0RMN",1,NA,"FALSE","Male","Nevada","30-49","Some college","White/Caucasian","FALSE","west","6","Republican","Poor","Born-again/Evangelical Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Poor","Atheist or agnostic","White","Man","18-35","Never went to college","Unemployed","Not a union member","","","","","","","","","","","","","","","",""
"R_4UWWgobodVFkNdH",1,NA,"FALSE","Male","Tennessee","30-49","Some college","White/Caucasian","FALSE","south","6","Republican","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Rich","Atheist or agnostic","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_2hpOGtkYhjY7hXL",1,NA,"TRUE","Female","Wisconsin","50+","Advanced degree","White/Caucasian","FALSE","midwest","7","Republican","Poor","Atheist or agnostic","Black or African-American","Man","18-35","Never went to college","Unemployed","Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_d6eQFIPJ4tPpyGF",1,NA,"TRUE","Female","Oklahoma","30-49","Some college","White/Caucasian","FALSE","south","6","Republican","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_01kfbdbpia3PypT",NA,1,"TRUE","Female","Florida","30-49","Some college","White/Caucasian","FALSE","south","2","Democrat","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","50+","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","50+","College educated","Employed","Not a Union Member"
"R_5i33C2moRgBtmO9",NA,1,"FALSE","Male","Oklahoma","30-49","Bachelor's degree","White/Caucasian","FALSE","south","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Union Member"
"R_9owksClnd1ZNX1j",NA,1,"FALSE","Male","Texas","30-49","Bachelor's degree","Asian","FALSE","south","3","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","Black or African-American","Man","18-35","College educated","Employed","Not a Union Member"
"R_7allTmRNIrSL3gN",1,NA,"FALSE","Male","New York","30-49","Some college","White/Caucasian","FALSE","northeast","4","Independent","Poor","Atheist or agnostic","Black or African-American","Woman","36-50","Never went to college","Employed","Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_bJduq62rhNNrexn",1,NA,"TRUE","Female","Missouri","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","2","Democrat","Poor","Other Protestant Christian","White","Woman","36-50","Never went to college","Employed","Not a Union Member","Poor","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0DOfXTE9bRZmGIl",NA,NA,"FALSE","Male","Wisconsin","30-49","Advanced degree","White/Caucasian","FALSE","midwest","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_7U2U1z6sI3Xr8vb",1,NA,"TRUE","Female","Tennessee","50+","Bachelor's degree","White/Caucasian","FALSE","south","4","Independent","Middle class","Atheist or agnostic","White","Woman","36-50","College Educated","Employed","Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_3QpapwQHj8virS5",1,NA,"FALSE","Male","Georgia","30-49","Some college","Black/African American","FALSE","south","3","Democrat","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0chkFIzCDSH3Vnn",NA,1,"FALSE","Male","Michigan","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","6","Republican","","","","","","","","","","","","","","","","","Poor","Jewish","Black or African-American","Woman","36-50","College Educated","Unemployed","Union Member","Rich","Atheist or agnostic","White","Man","18-35","College educated","Employed","Union Member"
"R_01d8uX8ph4mU113",NA,1,"FALSE","Male","Minnesota","30-49","Some college","White/Caucasian","FALSE","midwest","5","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Union Member"
"R_8ozOpTPd9fySlLv",1,NA,"FALSE","Male","New York","30-49","High school degree or equivalent","White/Caucasian","FALSE","northeast","4","Independent","Middle class","Catholic","White","Woman","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_57kBiIj96kmJodD",1,NA,"TRUE","Female","California","18-29","Some college","White/Caucasian","TRUE","west","2","Democrat","Middle class","Atheist or agnostic","Black or African-American","Woman","18-35","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_a4vVwYoVTga1MPP",NA,NA,"FALSE","Male","California","18-29","Some college","White/Caucasian","TRUE","west","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_3IcMSdoKPCQzqvj",NA,1,"FALSE","Male","California","30-49","Some college","White/Caucasian","FALSE","west","2","Democrat","","","","","","","","","","","","","","","","","Poor","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a Union Member","Middle class","Other Protestant Christian","Black or African-American","Woman","18-35","College educated","Employed","Not a Union Member"
"R_37r7O32WebURfAV",NA,1,"FALSE","Male","District of Columbia","30-49","Bachelor's degree","White/Caucasian","FALSE","south","6","Republican","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_bl1brzr69xWHVk1",1,NA,"FALSE","Male","California","50+","Advanced degree","Asian","FALSE","west","3","Democrat","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_bqt1UJBEzQ91D7f",NA,1,"FALSE","Male","California","30-49","Bachelor's degree","White/Caucasian","FALSE","west","3","Democrat","","","","","","","","","","","","","","","","","Rich","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Woman","36-50","College educated","Employed","Union Member"
"R_a4qnHOR1pR3IQyF",NA,1,"FALSE","Male","California","30-49","Some college","White/Caucasian","FALSE","west","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_9XfpefOm0jfcG9v",NA,NA,"TRUE","Female","Colorado","18-29","High school degree or equivalent","White/Caucasian","FALSE","west","4","Independent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_9N5NuR24yRa5syx",1,NA,"FALSE","Male","Idaho","30-49","Bachelor's degree","White/Caucasian","FALSE","west","4","Independent","Middle class","Something else","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_5BIkMWzDCBRYufX",1,NA,"FALSE","Male","Texas","30-49","High school degree or equivalent","White/Caucasian","FALSE","south","2","Democrat","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
